1,"提示"
2,"确认花费258888金币购买"
3,"确定"
4,"取消"
5,"前往 枪战躲猫猫(私人别墅)"
6,"MetaWorld"
7,"今日奖励（星期一）"
8,"直接领取"
9,"已在线 29/30(分钟)"
10,"在线30分钟免费领取"
11,"皮肤"
12,"1/7"
13,"免费获取"
14,"看广告可以使用这个厉害的武器哟~"
15,"Play Ads"
16,"自动关闭(5)"
17,"999999"
18,"9"
19,"首充翻倍"
20,"+100000"
21,"额外+100000"
22,"88800"
23,"商店"
24,"免费领取钻石"
25,"99999"
26,"GM"
27,"Button"
28,"激光烈火枪"
29,"30/无限"
30,"0S"
31,"潜伏者"
32,"9999"
33,"保卫者"
34,"潜伏着：第一名"
35,"生命"
36,"1600"
37,"九连杀！超越神啦！"
38,"无敌时间"
39,"复活倒计时"
40,"3"
41,"复活后2秒内无敌"
42,"设置"
43,"开火灵敏度"
44,"低"
45,"中"
46,"高"
47,"控制灵敏度"
48,"背景音乐大小"
49,"音效大小"
50,"重置位置"
51,"变身"
52,"你是谁你是谁你是"
53," 击败 "
54,"排名"
55,"昵称"
56,"击败"
57,"死亡"
58,"全服前100名"
59,"总击败"
60,"总死亡"
61,"战绩排行榜"
62,"全服排行榜"
63,"10"
64,"帅哥你谁啊帅哥你谁啊"
65,"100"
66,"我的角色ID-分享好友试穿"
67,"1026MJK0"
68,"试穿好友的角色形象"
69,"Text"
70,"Free Try On"
71,"M4A1-激光枪"
72,"永久"
73,"获得"
74,"伤害：30"
75,"9999999"
76,"使用"
77,"武器"
78,"拖尾"
79,"1000派对币购买
所有武器-皮肤-拖尾"
80,"登陆游戏 (1/1)"
81,"500"
82,"50000"
83,"领取奖励"
84,"未完成"
85,"每日任务"
86,"剩余: 15小时"
87,"任务已全部完成，等待刷新..."
88,"每周任务"
89,"你是谁你是你是谁你是你是谁"
90,"加入潜伏者"
91,"加入保卫者"
92,"defaultName"
93,"水枪"
94,"幽灵激光枪"
95,"尖叫鸡"
96,"激光冰雷枪"
97,"彩弹枪"
98,"鸡枪"
99,"烟花枪"
100,"泡泡枪"
101,"霰弹枪"
102,"金枪鱼"
103,"脉冲枪"
104,"喷火枪"
105,"散弹喷枪"
106,"霰弹枪枪身"
107,"火箭发射器"
108,"免费换装"
109,"不要"
110,"购买"
111,"激光幽灵枪"
112,"兜帽男"
113,"双马尾女"
114,"男战士"
115,"机甲少女"
116,"男骑士"
117,"纳米机甲女性"
118,"赛博少年"
119,"赛博少女"
120,"一定锅少年"
121,"求神少年"
122,"一定锅少女"
123,"求神少女"
124,"宝石铠甲男"
125,"铠甲男战士"
126,"黑人男纳米机甲"
127,"白人男纳米机甲"
128,"白银骑士"
129,"鹰战士"
130,"战士"
131,"毒液怪人"
132,"蚁侠士"
133,"最强队长"
134,"超帅侠"
135,"奇异战士"
136,"闪电怪"
137,"恶灵骷髅"
138,"铁人"
139,"风衣女"
140,"汉服少女"
141,"时尚少女"
142,"潮流少女"
143,"古代书生"
144,"钻石*100"
145,"钻石*600"
146,"钻石*1000"
147,"钻石*3000"
148,"钻石*7000"
149,"钻石*10000"
150,"钻石*20000"
151,"钻石*50000"
152,"钻石*100000"
153,"每日登录游戏（{0}/{1}）"
154,"每日在线时长5分钟（{0}/{1}）"
155,"每日在线时长10分钟（{0}/{1}）"
156,"每日在线时长15分钟（{0}/{1}）"
157,"每日在线时长20分钟（{0}/{1}）"
158,"每日在线时长25分钟（{0}/{1}）"
159,"每日在线时长30分钟（{0}/{1}）"
160,"每日在线时长40分钟（{0}/{1}）"
161,"每日在线时长50分钟（{0}/{1}）"
162,"每日在线时长60分钟（{0}/{1}）"
163,"每日击败1个玩家（{0}/{1}）"
164,"每日击败5个玩家（{0}/{1}）"
165,"每日击败10个玩家（{0}/{1}）"
166,"每日击败20个玩家（{0}/{1}）"
167,"每日击败30个玩家（{0}/{1}）"
168,"每日击败50个玩家（{0}/{1}）"
